agent_type,decay_rate,rep,avg_retrieval_length
Agent,0.0,0,1.031
Agent,0.0,1,1.031
Agent,0.0,2,1.085
Agent,0.0,3,1.01
Agent,0.0,4,1.071
Agent,0.0,5,1.159
Agent,0.0,6,1.026
Agent,0.0,7,1.039
Agent,0.0,8,1.017
Agent,0.0,9,1.215
Agent,0.01,0,3.94
Agent,0.01,1,7.716
Agent,0.01,2,4.754
Agent,0.01,3,7.281
Agent,0.01,4,6.406
Agent,0.01,5,4.244
Agent,0.01,6,4.897
Agent,0.01,7,5.84
Agent,0.01,8,4.206
Agent,0.01,9,10.864
Agent,0.02,0,6.438
Agent,0.02,1,14.486
Agent,0.02,2,3.976
Agent,0.02,3,8.864
Agent,0.02,4,9.897
Agent,0.02,5,3.359
Agent,0.02,6,13.072
Agent,0.02,7,12.682
Agent,0.02,8,4.501
Agent,0.02,9,7.323
FeatureAgent,0.0,0,1.364
FeatureAgent,0.0,1,21.757
FeatureAgent,0.0,2,1.794
FeatureAgent,0.0,3,14.119
FeatureAgent,0.0,4,4.108
FeatureAgent,0.0,5,1.288
FeatureAgent,0.0,6,1.427
FeatureAgent,0.0,7,1.271
FeatureAgent,0.0,8,1.193
FeatureAgent,0.0,9,1.566
FeatureAgent,0.01,0,34.288
FeatureAgent,0.01,1,31.132
FeatureAgent,0.01,2,43.668
FeatureAgent,0.01,3,43.521
FeatureAgent,0.01,4,45.121
FeatureAgent,0.01,5,44.181
FeatureAgent,0.01,6,41.529
FeatureAgent,0.01,7,43.152
FeatureAgent,0.01,8,42.237
FeatureAgent,0.01,9,36.478
FeatureAgent,0.02,0,44.68
FeatureAgent,0.02,1,32.902
FeatureAgent,0.02,2,46.919
FeatureAgent,0.02,3,42.793
FeatureAgent,0.02,4,46.285
FeatureAgent,0.02,5,45.381
FeatureAgent,0.02,6,26.002
FeatureAgent,0.02,7,45.491
FeatureAgent,0.02,8,33.038
FeatureAgent,0.02,9,41.933
