retrieval_num,agent_type,length,reward,trauma_encounter
1,FeatureAgent,9,9,False
2,FeatureAgent,1,1,False
3,FeatureAgent,9,9,False
4,FeatureAgent,1,1,False
5,FeatureAgent,2,2,False
6,FeatureAgent,1,1,False
7,FeatureAgent,12,12,False
8,FeatureAgent,6,6,False
9,FeatureAgent,1,1,False
10,FeatureAgent,35,35,False
11,FeatureAgent,50,50,False
12,FeatureAgent,50,50,False
13,FeatureAgent,10,-41,True
14,FeatureAgent,3,3,False
15,FeatureAgent,1,1,False
16,FeatureAgent,1,1,False
17,FeatureAgent,1,1,False
18,FeatureAgent,1,1,False
19,FeatureAgent,1,1,False
20,FeatureAgent,2,2,False
21,FeatureAgent,2,2,False
22,FeatureAgent,1,1,False
23,FeatureAgent,1,1,False
24,FeatureAgent,1,1,False
25,FeatureAgent,1,1,False
26,FeatureAgent,1,1,False
27,FeatureAgent,1,1,False
28,FeatureAgent,1,1,False
29,FeatureAgent,1,1,False
30,FeatureAgent,1,1,False
31,FeatureAgent,1,1,False
32,FeatureAgent,1,1,False
33,FeatureAgent,2,2,False
34,FeatureAgent,2,2,False
35,FeatureAgent,1,1,False
36,FeatureAgent,1,1,False
37,FeatureAgent,1,1,False
38,FeatureAgent,3,3,False
39,FeatureAgent,6,6,False
40,FeatureAgent,1,1,False
41,FeatureAgent,6,6,False
42,FeatureAgent,10,10,False
43,FeatureAgent,20,20,False
44,FeatureAgent,27,27,False
45,FeatureAgent,50,50,False
46,FeatureAgent,50,50,False
47,FeatureAgent,50,50,False
48,FeatureAgent,50,50,False
49,FeatureAgent,48,-3,True
50,FeatureAgent,1,1,False
51,FeatureAgent,2,2,False
52,FeatureAgent,1,1,False
53,FeatureAgent,2,2,False
54,FeatureAgent,1,1,False
55,FeatureAgent,1,1,False
56,FeatureAgent,1,1,False
57,FeatureAgent,2,2,False
58,FeatureAgent,1,1,False
59,FeatureAgent,1,1,False
60,FeatureAgent,2,2,False
61,FeatureAgent,2,2,False
62,FeatureAgent,1,1,False
63,FeatureAgent,1,1,False
64,FeatureAgent,1,1,False
65,FeatureAgent,1,1,False
66,FeatureAgent,2,2,False
67,FeatureAgent,1,1,False
68,FeatureAgent,1,1,False
69,FeatureAgent,1,1,False
70,FeatureAgent,1,1,False
71,FeatureAgent,1,1,False
72,FeatureAgent,1,1,False
73,FeatureAgent,1,1,False
74,FeatureAgent,3,3,False
75,FeatureAgent,1,1,False
76,FeatureAgent,1,1,False
77,FeatureAgent,1,1,False
78,FeatureAgent,6,6,False
79,FeatureAgent,50,50,False
80,FeatureAgent,50,50,False
81,FeatureAgent,50,50,False
82,FeatureAgent,50,50,False
83,FeatureAgent,50,50,False
84,FeatureAgent,50,50,False
85,FeatureAgent,50,50,False
86,FeatureAgent,50,50,False
87,FeatureAgent,50,50,False
88,FeatureAgent,50,50,False
89,FeatureAgent,50,50,False
90,FeatureAgent,50,50,False
91,FeatureAgent,50,50,False
92,FeatureAgent,50,50,False
93,FeatureAgent,50,50,False
94,FeatureAgent,50,50,False
95,FeatureAgent,50,50,False
96,FeatureAgent,50,50,False
97,FeatureAgent,50,50,False
98,FeatureAgent,50,50,False
99,FeatureAgent,50,50,False
100,FeatureAgent,50,50,False
101,FeatureAgent,50,50,False
102,FeatureAgent,50,50,False
103,FeatureAgent,50,50,False
104,FeatureAgent,50,50,False
105,FeatureAgent,50,50,False
106,FeatureAgent,50,50,False
107,FeatureAgent,50,50,False
108,FeatureAgent,50,50,False
109,FeatureAgent,50,50,False
110,FeatureAgent,50,50,False
111,FeatureAgent,50,50,False
112,FeatureAgent,50,50,False
113,FeatureAgent,50,50,False
114,FeatureAgent,50,50,False
115,FeatureAgent,50,50,False
116,FeatureAgent,50,50,False
117,FeatureAgent,50,50,False
118,FeatureAgent,50,50,False
119,FeatureAgent,50,50,False
120,FeatureAgent,50,50,False
121,FeatureAgent,50,50,False
122,FeatureAgent,50,50,False
123,FeatureAgent,50,50,False
124,FeatureAgent,50,50,False
125,FeatureAgent,50,50,False
126,FeatureAgent,50,50,False
127,FeatureAgent,50,50,False
128,FeatureAgent,50,50,False
129,FeatureAgent,50,50,False
130,FeatureAgent,50,50,False
131,FeatureAgent,50,50,False
132,FeatureAgent,50,50,False
133,FeatureAgent,50,50,False
134,FeatureAgent,50,50,False
135,FeatureAgent,50,50,False
136,FeatureAgent,50,50,False
137,FeatureAgent,50,50,False
138,FeatureAgent,50,50,False
139,FeatureAgent,50,50,False
140,FeatureAgent,50,50,False
141,FeatureAgent,50,50,False
142,FeatureAgent,50,50,False
143,FeatureAgent,36,-15,True
144,FeatureAgent,7,7,False
145,FeatureAgent,27,27,False
146,FeatureAgent,5,5,False
147,FeatureAgent,50,50,False
148,FeatureAgent,50,50,False
149,FeatureAgent,50,50,False
150,FeatureAgent,10,-41,True
151,FeatureAgent,50,50,False
152,FeatureAgent,50,50,False
153,FeatureAgent,50,50,False
154,FeatureAgent,50,50,False
155,FeatureAgent,50,50,False
156,FeatureAgent,50,50,False
157,FeatureAgent,50,50,False
158,FeatureAgent,50,50,False
159,FeatureAgent,50,50,False
160,FeatureAgent,50,50,False
161,FeatureAgent,50,50,False
162,FeatureAgent,50,50,False
163,FeatureAgent,50,50,False
164,FeatureAgent,50,50,False
165,FeatureAgent,50,50,False
166,FeatureAgent,50,50,False
167,FeatureAgent,50,50,False
168,FeatureAgent,50,50,False
169,FeatureAgent,50,50,False
170,FeatureAgent,50,50,False
171,FeatureAgent,50,50,False
172,FeatureAgent,50,50,False
173,FeatureAgent,50,50,False
174,FeatureAgent,50,50,False
175,FeatureAgent,50,50,False
176,FeatureAgent,50,50,False
177,FeatureAgent,50,50,False
178,FeatureAgent,50,50,False
179,FeatureAgent,50,50,False
180,FeatureAgent,50,50,False
181,FeatureAgent,50,50,False
182,FeatureAgent,50,50,False
183,FeatureAgent,50,50,False
184,FeatureAgent,50,50,False
185,FeatureAgent,50,50,False
186,FeatureAgent,50,50,False
187,FeatureAgent,50,50,False
188,FeatureAgent,50,50,False
189,FeatureAgent,50,-1,True
190,FeatureAgent,50,50,False
191,FeatureAgent,27,27,False
192,FeatureAgent,50,50,False
193,FeatureAgent,50,50,False
194,FeatureAgent,50,-1,True
195,FeatureAgent,50,50,False
196,FeatureAgent,50,50,False
197,FeatureAgent,50,50,False
198,FeatureAgent,50,50,False
199,FeatureAgent,50,50,False
200,FeatureAgent,50,50,False
201,FeatureAgent,50,50,False
202,FeatureAgent,50,50,False
203,FeatureAgent,50,50,False
204,FeatureAgent,50,50,False
205,FeatureAgent,50,50,False
206,FeatureAgent,50,50,False
207,FeatureAgent,50,50,False
208,FeatureAgent,50,50,False
209,FeatureAgent,50,50,False
210,FeatureAgent,50,50,False
211,FeatureAgent,50,50,False
212,FeatureAgent,50,50,False
213,FeatureAgent,50,50,False
214,FeatureAgent,50,50,False
215,FeatureAgent,50,50,False
216,FeatureAgent,50,50,False
217,FeatureAgent,50,50,False
218,FeatureAgent,50,50,False
219,FeatureAgent,50,50,False
220,FeatureAgent,50,50,False
221,FeatureAgent,50,50,False
222,FeatureAgent,50,50,False
223,FeatureAgent,50,50,False
224,FeatureAgent,50,50,False
225,FeatureAgent,50,50,False
226,FeatureAgent,50,50,False
227,FeatureAgent,50,50,False
228,FeatureAgent,50,50,False
229,FeatureAgent,50,50,False
230,FeatureAgent,12,-39,True
231,FeatureAgent,1,1,False
232,FeatureAgent,18,18,False
233,FeatureAgent,50,50,False
234,FeatureAgent,29,29,False
235,FeatureAgent,50,50,False
236,FeatureAgent,50,50,False
237,FeatureAgent,50,50,False
238,FeatureAgent,50,50,False
239,FeatureAgent,50,50,False
240,FeatureAgent,50,50,False
241,FeatureAgent,50,50,False
242,FeatureAgent,50,50,False
243,FeatureAgent,50,50,False
244,FeatureAgent,50,50,False
245,FeatureAgent,50,50,False
246,FeatureAgent,50,50,False
247,FeatureAgent,50,50,False
248,FeatureAgent,50,50,False
249,FeatureAgent,50,50,False
250,FeatureAgent,50,50,False
251,FeatureAgent,50,50,False
252,FeatureAgent,50,50,False
253,FeatureAgent,50,50,False
254,FeatureAgent,50,50,False
255,FeatureAgent,50,50,False
256,FeatureAgent,50,50,False
257,FeatureAgent,50,50,False
258,FeatureAgent,50,50,False
259,FeatureAgent,50,50,False
260,FeatureAgent,50,50,False
261,FeatureAgent,50,50,False
262,FeatureAgent,50,50,False
263,FeatureAgent,50,50,False
264,FeatureAgent,50,50,False
265,FeatureAgent,50,50,False
266,FeatureAgent,50,50,False
267,FeatureAgent,50,50,False
268,FeatureAgent,50,50,False
269,FeatureAgent,50,50,False
270,FeatureAgent,50,50,False
271,FeatureAgent,50,50,False
272,FeatureAgent,50,50,False
273,FeatureAgent,50,50,False
274,FeatureAgent,50,50,False
275,FeatureAgent,50,50,False
276,FeatureAgent,50,50,False
277,FeatureAgent,50,50,False
278,FeatureAgent,50,-1,True
279,FeatureAgent,50,50,False
280,FeatureAgent,50,50,False
281,FeatureAgent,50,50,False
282,FeatureAgent,50,50,False
283,FeatureAgent,50,50,False
284,FeatureAgent,50,50,False
285,FeatureAgent,50,50,False
286,FeatureAgent,50,50,False
287,FeatureAgent,50,50,False
288,FeatureAgent,50,50,False
289,FeatureAgent,50,50,False
290,FeatureAgent,50,50,False
291,FeatureAgent,50,50,False
292,FeatureAgent,50,50,False
293,FeatureAgent,50,50,False
294,FeatureAgent,40,-11,True
295,FeatureAgent,50,50,False
296,FeatureAgent,50,50,False
297,FeatureAgent,50,50,False
298,FeatureAgent,50,50,False
299,FeatureAgent,50,50,False
300,FeatureAgent,50,50,False
301,FeatureAgent,50,50,False
302,FeatureAgent,50,50,False
303,FeatureAgent,50,50,False
304,FeatureAgent,50,50,False
305,FeatureAgent,50,50,False
306,FeatureAgent,50,50,False
307,FeatureAgent,50,50,False
308,FeatureAgent,50,50,False
309,FeatureAgent,50,50,False
310,FeatureAgent,50,50,False
311,FeatureAgent,50,50,False
312,FeatureAgent,50,50,False
313,FeatureAgent,50,50,False
314,FeatureAgent,50,50,False
315,FeatureAgent,50,50,False
316,FeatureAgent,50,50,False
317,FeatureAgent,50,50,False
318,FeatureAgent,50,50,False
319,FeatureAgent,50,50,False
320,FeatureAgent,50,50,False
321,FeatureAgent,50,50,False
322,FeatureAgent,50,50,False
323,FeatureAgent,50,50,False
324,FeatureAgent,50,50,False
325,FeatureAgent,50,50,False
326,FeatureAgent,50,50,False
327,FeatureAgent,50,50,False
328,FeatureAgent,50,50,False
329,FeatureAgent,50,50,False
330,FeatureAgent,50,50,False
331,FeatureAgent,50,50,False
332,FeatureAgent,50,50,False
333,FeatureAgent,50,50,False
334,FeatureAgent,50,50,False
335,FeatureAgent,50,50,False
336,FeatureAgent,50,50,False
337,FeatureAgent,50,50,False
338,FeatureAgent,50,50,False
339,FeatureAgent,50,50,False
340,FeatureAgent,50,50,False
341,FeatureAgent,50,50,False
342,FeatureAgent,50,50,False
343,FeatureAgent,50,50,False
344,FeatureAgent,50,50,False
345,FeatureAgent,50,50,False
346,FeatureAgent,50,50,False
347,FeatureAgent,50,50,False
348,FeatureAgent,50,50,False
349,FeatureAgent,50,50,False
350,FeatureAgent,50,50,False
351,FeatureAgent,50,50,False
352,FeatureAgent,50,50,False
353,FeatureAgent,50,50,False
354,FeatureAgent,50,50,False
355,FeatureAgent,50,50,False
356,FeatureAgent,50,-1,True
357,FeatureAgent,50,50,False
358,FeatureAgent,50,50,False
359,FeatureAgent,50,50,False
360,FeatureAgent,50,50,False
361,FeatureAgent,50,50,False
362,FeatureAgent,50,50,False
363,FeatureAgent,50,50,False
364,FeatureAgent,50,50,False
365,FeatureAgent,50,50,False
366,FeatureAgent,50,50,False
367,FeatureAgent,50,50,False
368,FeatureAgent,50,50,False
369,FeatureAgent,50,50,False
370,FeatureAgent,50,50,False
371,FeatureAgent,50,50,False
372,FeatureAgent,50,50,False
373,FeatureAgent,50,-1,True
374,FeatureAgent,50,50,False
375,FeatureAgent,50,50,False
376,FeatureAgent,50,50,False
377,FeatureAgent,50,50,False
378,FeatureAgent,50,-1,True
379,FeatureAgent,50,50,False
380,FeatureAgent,50,50,False
381,FeatureAgent,50,50,False
382,FeatureAgent,50,50,False
383,FeatureAgent,50,50,False
384,FeatureAgent,50,50,False
385,FeatureAgent,50,50,False
386,FeatureAgent,50,50,False
387,FeatureAgent,50,50,False
388,FeatureAgent,50,50,False
389,FeatureAgent,50,50,False
390,FeatureAgent,50,50,False
391,FeatureAgent,50,50,False
392,FeatureAgent,50,50,False
393,FeatureAgent,50,50,False
394,FeatureAgent,50,50,False
395,FeatureAgent,50,50,False
396,FeatureAgent,50,50,False
397,FeatureAgent,50,50,False
398,FeatureAgent,50,50,False
399,FeatureAgent,50,50,False
400,FeatureAgent,50,50,False
401,FeatureAgent,50,50,False
402,FeatureAgent,50,50,False
403,FeatureAgent,50,50,False
404,FeatureAgent,50,50,False
405,FeatureAgent,50,50,False
406,FeatureAgent,50,50,False
407,FeatureAgent,50,50,False
408,FeatureAgent,50,50,False
409,FeatureAgent,50,50,False
410,FeatureAgent,50,50,False
411,FeatureAgent,50,50,False
412,FeatureAgent,50,50,False
413,FeatureAgent,50,50,False
414,FeatureAgent,50,50,False
415,FeatureAgent,50,50,False
416,FeatureAgent,50,50,False
417,FeatureAgent,50,50,False
418,FeatureAgent,50,50,False
419,FeatureAgent,50,50,False
420,FeatureAgent,50,50,False
421,FeatureAgent,50,50,False
422,FeatureAgent,50,50,False
423,FeatureAgent,50,50,False
424,FeatureAgent,50,50,False
425,FeatureAgent,50,50,False
426,FeatureAgent,50,50,False
427,FeatureAgent,50,50,False
428,FeatureAgent,50,50,False
429,FeatureAgent,50,50,False
430,FeatureAgent,50,50,False
431,FeatureAgent,50,50,False
432,FeatureAgent,50,50,False
433,FeatureAgent,50,50,False
434,FeatureAgent,50,50,False
435,FeatureAgent,50,50,False
436,FeatureAgent,50,50,False
437,FeatureAgent,50,50,False
